id	measurementType	measurementValue	measurementUnit	measurementDeterminedDate	measurementMethod	measurementRemarks
f22d233c-c884-493b-9ae9-49637fcc0c56	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
e0784bd0-e67b-4b1c-8a51-f93dfa82817f	Sheep feces	12	count	2000-06	line transect	Used as a relative measure of sheep densitiy
615ac471-d986-4a15-b4ee-e2dfb7736e82	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
5b89b86a-daf2-4bbe-a548-63395dcc7183	Sheep feces	23	count	2000-06	line transect	Used as a relative measure of sheep densitiy
fed7d169-221a-4422-998f-bbf013541334	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
4ef42286-a983-43b7-b40a-0e3d1f4a4fcb	Sheep feces	1	count	2000-06	line transect	Used as a relative measure of sheep densitiy
2244f234-e07b-4f8a-8a0d-b3c4cea9f330	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
29a876c4-b1d7-4f58-87ae-cf60f21dd459	Sheep feces	1	count	2000-06	line transect	Used as a relative measure of sheep densitiy
31975b49-3c12-4b1c-b113-784a0686e355	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
3a773dfc-7ae7-47ab-8dfe-c0744c5b62fa	Sheep feces	3	count	2000-06	line transect	Used as a relative measure of sheep densitiy
6aa10196-8680-46a1-9bd6-3b3fc07d0517	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
9cf74126-85d2-4636-913d-7ae496caca65	Sheep feces	25	count	2000-06	line transect	Used as a relative measure of sheep densitiy
cc29dc38-2c5c-408b-9632-400eb8a88344	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
0f9ad7f3-9e45-4f30-820a-6ac6c55a4978	Sheep feces	8	count	2000-06	line transect	Used as a relative measure of sheep densitiy
aff0bb97-1c15-44b0-9594-861ce1d60cf1	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
f3028a04-0d8f-41dd-8747-c6bc40aacde0	Sheep feces	24	count	2000-06	line transect	Used as a relative measure of sheep densitiy
d6b065e7-139e-4580-8da2-d9294a027998	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
8705eef2-f40c-4d7c-90a6-a76d4da84cfb	Sheep feces	4	count	2000-06	line transect	Used as a relative measure of sheep densitiy
c7c16221-6ed3-490b-8f88-24928b066569	Sheep feces	NA	count	2000-06	line transect	Used as a relative measure of sheep densitiy
28488487-90a2-45f5-94db-d79779e0b087	Sheep feces	3	count	2000-06	line transect	Used as a relative measure of sheep densitiy
f22d233c-c884-493b-9ae9-49637fcc0c56	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
e0784bd0-e67b-4b1c-8a51-f93dfa82817f	Sheep feces	5	count	2000-07	line transect	Used as a relative measure of sheep densitiy
615ac471-d986-4a15-b4ee-e2dfb7736e82	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
5b89b86a-daf2-4bbe-a548-63395dcc7183	Sheep feces	11	count	2000-07	line transect	Used as a relative measure of sheep densitiy
fed7d169-221a-4422-998f-bbf013541334	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
4ef42286-a983-43b7-b40a-0e3d1f4a4fcb	Sheep feces	8	count	2000-07	line transect	Used as a relative measure of sheep densitiy
2244f234-e07b-4f8a-8a0d-b3c4cea9f330	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
29a876c4-b1d7-4f58-87ae-cf60f21dd459	Sheep feces	0	count	2000-07	line transect	Used as a relative measure of sheep densitiy
31975b49-3c12-4b1c-b113-784a0686e355	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
3a773dfc-7ae7-47ab-8dfe-c0744c5b62fa	Sheep feces	16	count	2000-07	line transect	Used as a relative measure of sheep densitiy
6aa10196-8680-46a1-9bd6-3b3fc07d0517	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
9cf74126-85d2-4636-913d-7ae496caca65	Sheep feces	31	count	2000-07	line transect	Used as a relative measure of sheep densitiy
cc29dc38-2c5c-408b-9632-400eb8a88344	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
0f9ad7f3-9e45-4f30-820a-6ac6c55a4978	Sheep feces	3	count	2000-07	line transect	Used as a relative measure of sheep densitiy
aff0bb97-1c15-44b0-9594-861ce1d60cf1	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
f3028a04-0d8f-41dd-8747-c6bc40aacde0	Sheep feces	9	count	2000-07	line transect	Used as a relative measure of sheep densitiy
d6b065e7-139e-4580-8da2-d9294a027998	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
8705eef2-f40c-4d7c-90a6-a76d4da84cfb	Sheep feces	1	count	2000-07	line transect	Used as a relative measure of sheep densitiy
c7c16221-6ed3-490b-8f88-24928b066569	Sheep feces	NA	count	2000-07	line transect	Used as a relative measure of sheep densitiy
28488487-90a2-45f5-94db-d79779e0b087	Sheep feces	1	count	2000-07	line transect	Used as a relative measure of sheep densitiy
f22d233c-c884-493b-9ae9-49637fcc0c56	slope	10	degrees			a measure of steepness (degrees differeing from horizontal)
e0784bd0-e67b-4b1c-8a51-f93dfa82817f	slope	25	degrees			a measure of steepness (degrees differeing from horizontal)
615ac471-d986-4a15-b4ee-e2dfb7736e82	slope	18	degrees			a measure of steepness (degrees differeing from horizontal)
5b89b86a-daf2-4bbe-a548-63395dcc7183	slope	5	degrees			a measure of steepness (degrees differeing from horizontal)
fed7d169-221a-4422-998f-bbf013541334	slope	12	degrees			a measure of steepness (degrees differeing from horizontal)
4ef42286-a983-43b7-b40a-0e3d1f4a4fcb	slope	18	degrees			a measure of steepness (degrees differeing from horizontal)
2244f234-e07b-4f8a-8a0d-b3c4cea9f330	slope	20	degrees			a measure of steepness (degrees differeing from horizontal)
29a876c4-b1d7-4f58-87ae-cf60f21dd459	slope	35	degrees			a measure of steepness (degrees differeing from horizontal)
31975b49-3c12-4b1c-b113-784a0686e355	slope	15	degrees			a measure of steepness (degrees differeing from horizontal)
3a773dfc-7ae7-47ab-8dfe-c0744c5b62fa	slope	5	degrees			a measure of steepness (degrees differeing from horizontal)
6aa10196-8680-46a1-9bd6-3b3fc07d0517	slope	15	degrees			a measure of steepness (degrees differeing from horizontal)
9cf74126-85d2-4636-913d-7ae496caca65	slope	25	degrees			a measure of steepness (degrees differeing from horizontal)
cc29dc38-2c5c-408b-9632-400eb8a88344	slope	22	degrees			a measure of steepness (degrees differeing from horizontal)
0f9ad7f3-9e45-4f30-820a-6ac6c55a4978	slope	5	degrees			a measure of steepness (degrees differeing from horizontal)
aff0bb97-1c15-44b0-9594-861ce1d60cf1	slope	15	degrees			a measure of steepness (degrees differeing from horizontal)
f3028a04-0d8f-41dd-8747-c6bc40aacde0	slope	15	degrees			a measure of steepness (degrees differeing from horizontal)
d6b065e7-139e-4580-8da2-d9294a027998	slope	25	degrees			a measure of steepness (degrees differeing from horizontal)
8705eef2-f40c-4d7c-90a6-a76d4da84cfb	slope	30	degrees			a measure of steepness (degrees differeing from horizontal)
c7c16221-6ed3-490b-8f88-24928b066569	slope	15	degrees			a measure of steepness (degrees differeing from horizontal)
28488487-90a2-45f5-94db-d79779e0b087	slope	8	degrees			a measure of steepness (degrees differeing from horizontal)
f22d233c-c884-493b-9ae9-49637fcc0c56	Exposition	202	degrees			a measure of exposition at a 400 degree scale  (200 = south)
e0784bd0-e67b-4b1c-8a51-f93dfa82817f	Exposition	242	degrees			a measure of exposition at a 400 degree scale  (200 = south)
615ac471-d986-4a15-b4ee-e2dfb7736e82	Exposition	242	degrees			a measure of exposition at a 400 degree scale  (200 = south)
5b89b86a-daf2-4bbe-a548-63395dcc7183	Exposition	240	degrees			a measure of exposition at a 400 degree scale  (200 = south)
fed7d169-221a-4422-998f-bbf013541334	Exposition	194	degrees			a measure of exposition at a 400 degree scale  (200 = south)
4ef42286-a983-43b7-b40a-0e3d1f4a4fcb	Exposition	314	degrees			a measure of exposition at a 400 degree scale  (200 = south)
2244f234-e07b-4f8a-8a0d-b3c4cea9f330	Exposition	295	degrees			a measure of exposition at a 400 degree scale  (200 = south)
29a876c4-b1d7-4f58-87ae-cf60f21dd459	Exposition	180	degrees			a measure of exposition at a 400 degree scale  (200 = south)
31975b49-3c12-4b1c-b113-784a0686e355	Exposition	276	degrees			a measure of exposition at a 400 degree scale  (200 = south)
3a773dfc-7ae7-47ab-8dfe-c0744c5b62fa	Exposition	278	degrees			a measure of exposition at a 400 degree scale  (200 = south)
6aa10196-8680-46a1-9bd6-3b3fc07d0517	Exposition	162	degrees			a measure of exposition at a 400 degree scale  (200 = south)
9cf74126-85d2-4636-913d-7ae496caca65	Exposition	242	degrees			a measure of exposition at a 400 degree scale  (200 = south)
cc29dc38-2c5c-408b-9632-400eb8a88344	Exposition	240	degrees			a measure of exposition at a 400 degree scale  (200 = south)
0f9ad7f3-9e45-4f30-820a-6ac6c55a4978	Exposition	238	degrees			a measure of exposition at a 400 degree scale  (200 = south)
aff0bb97-1c15-44b0-9594-861ce1d60cf1	Exposition	184	degrees			a measure of exposition at a 400 degree scale  (200 = south)
f3028a04-0d8f-41dd-8747-c6bc40aacde0	Exposition	282	degrees			a measure of exposition at a 400 degree scale  (200 = south)
d6b065e7-139e-4580-8da2-d9294a027998	Exposition	278	degrees			a measure of exposition at a 400 degree scale  (200 = south)
8705eef2-f40c-4d7c-90a6-a76d4da84cfb	Exposition	188	degrees			a measure of exposition at a 400 degree scale  (200 = south)
c7c16221-6ed3-490b-8f88-24928b066569	Exposition	284	degrees			a measure of exposition at a 400 degree scale  (200 = south)
28488487-90a2-45f5-94db-d79779e0b087	Exposition	276	degrees			a measure of exposition at a 400 degree scale  (200 = south)
f22d233c-c884-493b-9ae9-49637fcc0c56	Elevation	900	meters			Meters above sea level at the highest point
e0784bd0-e67b-4b1c-8a51-f93dfa82817f	Elevation	880	meters			Meters above sea level at the highest point
615ac471-d986-4a15-b4ee-e2dfb7736e82	Elevation	900	meters			Meters above sea level at the highest point
5b89b86a-daf2-4bbe-a548-63395dcc7183	Elevation	940	meters			Meters above sea level at the highest point
fed7d169-221a-4422-998f-bbf013541334	Elevation	960	meters			Meters above sea level at the highest point
4ef42286-a983-43b7-b40a-0e3d1f4a4fcb	Elevation	1000	meters			Meters above sea level at the highest point
2244f234-e07b-4f8a-8a0d-b3c4cea9f330	Elevation	980	meters			Meters above sea level at the highest point
29a876c4-b1d7-4f58-87ae-cf60f21dd459	Elevation	1030	meters			Meters above sea level at the highest point
31975b49-3c12-4b1c-b113-784a0686e355	Elevation	1020	meters			Meters above sea level at the highest point
3a773dfc-7ae7-47ab-8dfe-c0744c5b62fa	Elevation	1020	meters			Meters above sea level at the highest point
6aa10196-8680-46a1-9bd6-3b3fc07d0517	Elevation	900	meters			Meters above sea level at the highest point
9cf74126-85d2-4636-913d-7ae496caca65	Elevation	860	meters			Meters above sea level at the highest point
cc29dc38-2c5c-408b-9632-400eb8a88344	Elevation	880	meters			Meters above sea level at the highest point
0f9ad7f3-9e45-4f30-820a-6ac6c55a4978	Elevation	940	meters			Meters above sea level at the highest point
aff0bb97-1c15-44b0-9594-861ce1d60cf1	Elevation	960	meters			Meters above sea level at the highest point
f3028a04-0d8f-41dd-8747-c6bc40aacde0	Elevation	1000	meters			Meters above sea level at the highest point
d6b065e7-139e-4580-8da2-d9294a027998	Elevation	980	meters			Meters above sea level at the highest point
8705eef2-f40c-4d7c-90a6-a76d4da84cfb	Elevation	1030	meters			Meters above sea level at the highest point
c7c16221-6ed3-490b-8f88-24928b066569	Elevation	1020	meters			Meters above sea level at the highest point
28488487-90a2-45f5-94db-d79779e0b087	Elevation	1020	meters			Meters above sea level at the highest point
0d69bb70-d755-4bcb-baec-315d3296bf50	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
7472a1f0-b04a-4132-9c62-49c56dc4d079	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
3ef7786a-7761-463b-ad58-9e2efea9dc0c	Rodent disturbance	1	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
ebe0b490-57a2-497c-a927-e8683c1748c6	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
942d3b55-8a42-44e6-9dd1-5a90cc05f6e8	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
2374ca45-5ce1-4913-897a-9911b2b7ee77	Rodent disturbance	2	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
9e30631a-5eef-43a3-ad29-2aae2841cf48	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
97e044e4-e8ca-4cfa-8447-0789400f36db	Rodent disturbance	1	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
139442db-d846-412c-bae0-217de9a8db5f	Rodent disturbance	1	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
6c3708d3-78fa-4132-b1dc-2681adb94bfa	Rodent disturbance	7	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
0ec06382-4e5f-433a-b3a6-3dea63e480cd	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
079bc956-880f-4049-b8eb-70dbececd6d3	Rodent disturbance	6	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
5a7a96da-1273-4511-abc9-f20fe9a883e6	Rodent disturbance	12	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
fb4dd07d-9926-4572-b1c8-2ad9f0e6f15c	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
fdfadc27-5032-4112-936c-4f4504311cd3	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
bfcc1c96-d8cb-42fe-beb6-6960c604f630	Rodent disturbance	4	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
9a3e6ff6-7cbd-4997-a383-eeb74101c9dc	Rodent disturbance	7	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
ace35ed8-5309-4a8d-ba5c-1724b194d46e	Rodent disturbance	11	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
b8b2850b-9b6c-4112-877e-cca5285fcab4	Rodent disturbance	1	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
4b12fbf0-67a1-444e-ae5e-778bf906d14e	Rodent disturbance	1	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
a30021b2-3254-434f-87c4-86ea62a7bc5a	Rodent disturbance	5	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
af409ce6-0035-4254-bbde-ae2fce92a39f	Rodent disturbance	3	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
17460925-4053-410a-b30c-19dac2ba0600	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
9564039b-61ea-4cf9-aa43-5f48ddae763f	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
a957ae4d-83b9-4cd0-849d-7f89cff57754	Rodent disturbance	4	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
1e5b338f-2bc7-415e-9d73-7bb90cc47588	Rodent disturbance	1	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
e4d8c752-05cd-4947-afbc-d8eef6e23b22	Rodent disturbance	9	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
77962d1f-53ca-4430-8d74-d044374cefe6	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
770d0c13-0168-4c15-a82a-3c07b24b7c4e	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
3de7c3aa-544c-438f-8e12-4adb7a753120	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
407f2ed4-2cf7-47a5-9468-e1fb70df028d	Rodent disturbance	10	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
4c9d8bf1-007a-4041-acea-f67e49c194c5	Rodent disturbance	6	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
5bd743cd-224c-4e02-90d0-df479f208e2a	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
46ffc5e0-bfbb-4ce3-8416-d76b3350f7ec	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
acd6613f-9c6f-4ea7-87f0-3bdb117f193b	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
02e3d07a-4bf2-4c42-93ef-806c0a70f1c8	Rodent disturbance	2	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
d10ea9f1-bfa1-4224-9544-9b0db4469c54	Rodent disturbance	0	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
3fa08d5b-1f9c-454c-a1c3-1e877e58238f	Rodent disturbance	4	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
f960aa33-5fee-40f4-9b83-b0771c9fbff8	Rodent disturbance	6	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
a49c98ae-5742-4dfe-a35a-32ef144a65c2	Rodent disturbance	2	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
dea8567a-a8ea-4f09-b1ff-02983813659f	Rodent disturbance	2	frequency	2004		Number of subplot (total 16 subplots) that showed signes of rodents (feces, tunnels, nest etc.).
