id	ownerInstitutionCode	basisOfRecord	occurrenceID	organismQuantity	organismQuantityType	eventID	scientificName	kingdom
9268c4b1-cd8d-452b-9d6a-ef169fd9aaa4	NTNU-VM	HumanObservation	73bb5dcb-db7e-44fe-9c47-dfcdac3a8d49	6.25	Relative Frequency	9268c4b1-cd8d-452b-9d6a-ef169fd9aaa4	Alchemilla alpina	Plantae
590d6ae6-b520-4515-a02b-5c918e3d9057	NTNU-VM	HumanObservation	5731f826-c838-47e7-9fb9-6be67a729f0b	68.75	Relative Frequency	590d6ae6-b520-4515-a02b-5c918e3d9057	Agrostis cappilaris	Plantae
2fc110af-4cfc-4566-a222-1ae298b1f1aa	NTNU-VM	HumanObservation	4439e826-4856-4f6c-8109-20ae74ba9f2a	62.5	Relative Frequency	2fc110af-4cfc-4566-a222-1ae298b1f1aa	Agrostis cappilaris	Plantae
dca1c787-2591-4296-bf14-6aafd532541f	NTNU-VM	HumanObservation	9499ebca-4582-4e01-bcbc-7c628b367a3e	62.5	Relative Frequency	dca1c787-2591-4296-bf14-6aafd532541f	Agrostis cappilaris	Plantae
a7de88f3-a29d-434c-beae-c1eda8f0a89c	NTNU-VM	HumanObservation	96fdb341-be0d-415b-8ae7-79c387265af0	31.25	Relative Frequency	a7de88f3-a29d-434c-beae-c1eda8f0a89c	Agrostis cappilaris	Plantae
3582194c-09f4-411f-b92a-257b9d5277c5	NTNU-VM	HumanObservation	60a5b53b-d998-4c72-ba08-9a17fcb5e28f	56.25	Relative Frequency	3582194c-09f4-411f-b92a-257b9d5277c5	Agrostis cappilaris	Plantae
56c2d600-e94d-4343-966f-14835c1a4c31	NTNU-VM	HumanObservation	c1f185d9-2fea-414a-8b02-dcc3ca2be9b0	31.25	Relative Frequency	56c2d600-e94d-4343-966f-14835c1a4c31	Agrostis cappilaris	Plantae
fb191ce0-c4df-43fa-ba7e-cc623257e933	NTNU-VM	HumanObservation	a39fcccd-eb1f-4faf-b7cf-3498c8ee2db2	56.25	Relative Frequency	fb191ce0-c4df-43fa-ba7e-cc623257e933	Agrostis cappilaris	Plantae
7a615dd8-4685-4f1d-b5d6-d1bffd18d5e9	NTNU-VM	HumanObservation	cc50f7fa-788c-4668-a723-785853e10bd5	12.5	Relative Frequency	7a615dd8-4685-4f1d-b5d6-d1bffd18d5e9	Agrostis cappilaris	Plantae
092a8a5d-f5ab-4ae6-86e6-511294c57e0a	NTNU-VM	HumanObservation	02ed0269-3af4-495f-aa0d-33cdbd8750f0	18.75	Relative Frequency	092a8a5d-f5ab-4ae6-86e6-511294c57e0a	Agrostis cappilaris	Plantae
