"locality","verbatimLocality","stationNumber","siteNumber","eventDate","verbatimCoordinateSystem","verbatimCoordinates","decimalLatidude","decimalLongitude","geodeticDatum","eventID","scientificName","organismQuantity"
"Setesdal_site8_plot_18","H18",18,"Browsed",2012,"UTM unknown sone","400607 6545099",5903375634980,726817197568,"WGS1441","77e7856e-347d-4132-b5e0-d5732fde6885","Alchemilla alpina",6.25
"Setesdal_site1_plot_13","A13",13,"Browsed",2000,"UTM unknown sone","386668 6544836",5902792473030,702559018698,"WGS96","505480c2-297b-4844-abf0-808b08a58c28","Agrostis cappilaris",68.75
"Setesdal_site1_plot_16","A16",16,"Browsed",2000,"UTM unknown sone","386657 6544840",5902795771300,702539662391,"WGS99","4a6be396-ff36-4cc1-9691-c5e11cc0530e","Agrostis cappilaris",62.5
"Setesdal_site1_plot_17","A17",17,"Browsed",2000,"UTM unknown sone","386661 6544839",5902794979900,702546677660,"WGS100","d73ff811-98cb-4768-b0f8-e56ebfa6e2a5","Agrostis cappilaris",62.5
"Setesdal_site1_plot_18","A18",18,"Browsed",2000,"UTM unknown sone","386660 6544834",5902790465730,702545194024,"WGS101","75f938ed-1305-4da1-a82e-92ae097c4426","Agrostis cappilaris",31.25
"Setesdal_site2_plot_1","B1",1,"Exclosure",2000,"UTM unknown sone","389962 6544671",5902730495540,708302122418,"WGS104","cd23aba0-828d-4b64-998d-30347a2c0191","Agrostis cappilaris",56.25
"Setesdal_site2_plot_2","B2",2,"Exclosure",2000,"UTM unknown sone","389966 6544677",5902735983920,708308786569,"WGS105","6ca5f840-18a6-4921-9287-de3fd0944ab9","Agrostis cappilaris",31.25
"Setesdal_site2_plot_5","B5",5,"Exclosure",2000,"UTM unknown sone","389964 6544684",5902742215310,708304954877,"WGS108","51a28ef6-0eb8-4c3b-ab45-dfde55979a7e","Agrostis cappilaris",56.25
"Setesdal_site2_plot_9","B9",9,"Exclosure",2000,"UTM unknown sone","389955 6544657",5902717749420,708290635083,"WGS112","735a7f76-8aec-4f02-9d5f-20965c72d44d","Agrostis cappilaris",12.5
"Setesdal_site2_plot_12","B12",12,"Browsed",2000,"UTM unknown sone","390008 6544609",5902676031540,708385303737,"WGS115","1de6787c-8297-4a78-8327-ebff5640a9d0","Agrostis cappilaris",18.75
"Setesdal_site2_plot_13","B13",13,"Browsed",2000,"UTM unknown sone","390015 6544604",5902671723960,708397740077,"WGS116","5d9fc2e4-7b36-4f8a-adf1-0902d10e405c","Agrostis cappilaris",50
"Setesdal_site2_plot_14","B14",14,"Browsed",2000,"UTM unknown sone","390019 6544610",5902677212290,708404404269,"WGS117","17adaaed-e2fb-46c2-b9cf-3a4662a6bbae","Agrostis cappilaris",31.25
"Setesdal_site2_plot_15","B15",15,"Browsed",2000,"UTM unknown sone","390015 6544618",5902684289780,708397040971,"WGS118","99ce910e-31da-4d1f-865d-9de14be07324","Agrostis cappilaris",25
"Setesdal_site2_plot_16","B16",16,"Browsed",2000,"UTM unknown sone","390013 6544627",5902692316320,708393109622,"WGS119","cea75650-09ec-440e-aa2f-541a53417c10","Agrostis cappilaris",56.25
"Setesdal_site2_plot_19","B19",19,"Browsed",2000,"UTM unknown sone","390015 6544611",5902678006870,708397390525,"WGS122","c578063a-552c-4176-8799-b29f5a2ab13d","Agrostis cappilaris",6.25
"Setesdal_site2_plot_20","B20",20,"Browsed",2000,"UTM unknown sone","390018 6544603",5902670903640,708403012860,"WGS123","e806261c-92f6-45ea-8111-59aeca30bb92","Agrostis cappilaris",75
"Setesdal_site3_plot_1","C1",1,"Exclosure",2000,"UTM unknown sone","392202 6542617",5900943978030,712302463693,"WGS124","12c9b7c4-dd00-4f65-878b-44ff4c49c0cf","Agrostis cappilaris",12.5
"Setesdal_site3_plot_2","C2",2,"Exclosure",2000,"UTM unknown sone","392213 6542628",5900954128790,712321067286,"WGS125","cb623638-7cea-4e39-b911-47f1b606063f","Agrostis cappilaris",50
"Setesdal_site3_plot_3","C3",3,"Exclosure",2000,"UTM unknown sone","392211 6542638",5900963054170,712317098226,"WGS126","fff9bd85-51f7-470e-8fc9-de280eef1e54","Agrostis cappilaris",75
"Setesdal_site3_plot_6","C6",6,"Exclosure",2000,"UTM unknown sone","392209 6542640",5900964798900,712313520209,"WGS129","d4c7b7f5-670e-4565-a17c-6d04df591009","Agrostis cappilaris",56.25
"Setesdal_site3_plot_7","C7",7,"Exclosure",2000,"UTM unknown sone","392204 6542627",5900953004270,712305455079,"WGS130","d89e442c-b15d-4541-9b33-12dc4f53b07b","Agrostis cappilaris",12.5
"Setesdal_site3_plot_8","C8",8,"Exclosure",2000,"UTM unknown sone","392206 6542647",5900971006330,712307957639,"WGS131","a711a98f-bd42-4659-92f3-e1d6e34e091d","Agrostis cappilaris",12.5
"Setesdal_site3_plot_9","C9",9,"Exclosure",2000,"UTM unknown sone","392209 6542608",5900936076310,712315084444,"WGS132","2dd6b035-436f-4887-93db-20f73ebb3202","Agrostis cappilaris",81.25
"Setesdal_site3_plot_10","C10",10,"Exclosure",2000,"UTM unknown sone","392211 6542612",5900939717060,712318369144,"WGS133","bfa34646-7515-4b9c-a280-94f0a19dff37","Agrostis cappilaris",62.5
"Setesdal_site3_plot_12","C12",12,"Browsed",2000,"UTM unknown sone","392203 6542531",5900866811260,712308407795,"WGS135","be9a6b12-8de8-47f5-872f-4e45cbad575c","Agrostis cappilaris",6.25
"Setesdal_site3_plot_13","C13",13,"Browsed",2000,"UTM unknown sone","392205 6542516",5900853397970,712312621167,"WGS136","cbafa623-f8de-411c-8d53-be4d0a5813d5","Agrostis cappilaris",56.25
"Setesdal_site3_plot_15","C15",15,"Browsed",2000,"UTM unknown sone","392216 6542514",5900851880150,712331859695,"WGS138","afb8ea6c-0a21-4972-bb13-4d167c2f3846","Agrostis cappilaris",31.25
"Setesdal_site3_plot_17","C17",17,"Browsed",2000,"UTM unknown sone","392213 6542535",5900870653720,712325613057,"WGS140","20df7f5c-5596-4fc7-996a-59b6ee1011ca","Agrostis cappilaris",50
"Setesdal_site3_plot_20","C20",20,"Browsed",2000,"UTM unknown sone","392211 6542528",5900864320230,712322475049,"WGS143","2a2c431e-e40b-4eee-9d6c-382f1857f584","Agrostis cappilaris",50
"Setesdal_site5_plot_1","E1",1,"Exclosure",2000,"UTM unknown sone","392756 6549567",5907196098850,712927758633,"WGS164","710691f5-6156-4fa9-9f25-36979383e47b","Agrostis cappilaris",50
"Setesdal_site5_plot_6","E6",6,"Exclosure",2000,"UTM unknown sone","392765 6549558",5907188246990,712943887747,"WGS169","4737974e-1b12-48ed-8334-615f66c25c91","Agrostis cappilaris",62.5
"Setesdal_site5_plot_13","E13",13,"Browsed",2000,"UTM unknown sone","392817 6549559",5907190451840,713034489581,"WGS176","7bd40bd6-77ea-42fe-bacb-026158e87114","Agrostis cappilaris",6.25
"Setesdal_site8_plot_2","H2",2,"Exclosure",2000,"UTM unknown sone","400567 6545094",5903370215660,726747764089,"WGS225","c8cef5f0-0b7d-4e8f-9657-e71ea0ceda66","Agrostis cappilaris",6.25
"Setesdal_site1_plot_13","A13",13,"Browsed",2002,"UTM unknown sone","386668 6544836",5902792473030,702559018698,"WGS296","f60d4c9e-6340-42dd-adaf-67554334329a","Agrostis cappilaris",68.75
"Setesdal_site1_plot_16","A16",16,"Browsed",2002,"UTM unknown sone","386657 6544840",5902795771300,702539662391,"WGS299","9525ac37-2f71-407d-9360-dfbf152de042","Agrostis cappilaris",56.25
"Setesdal_site1_plot_17","A17",17,"Browsed",2002,"UTM unknown sone","386661 6544839",5902794979900,702546677660,"WGS300","455c567f-8103-464b-96de-ad4d6d99df8b","Agrostis cappilaris",50
"Setesdal_site2_plot_2","B2",2,"Exclosure",2002,"UTM unknown sone","389966 6544677",5902735983920,708308786569,"WGS305","1f9cfd13-c6c6-4096-a79b-d3f1e52b4c33","Agrostis cappilaris",12.5
"Setesdal_site2_plot_3","B3",3,"Exclosure",2002,"UTM unknown sone","389967 6544687",5902744985260,708310027949,"WGS306","68ff36ed-aed8-49aa-830c-89cc96db8912","Agrostis cappilaris",6.25
"Setesdal_site2_plot_5","B5",5,"Exclosure",2002,"UTM unknown sone","389964 6544684",5902742215310,708304954877,"WGS308","236ba0e4-33b0-404e-8325-6baad35dccca","Agrostis cappilaris",31.25
"Setesdal_site2_plot_9","B9",9,"Exclosure",2002,"UTM unknown sone","389955 6544657",5902717749420,708290635083,"WGS312","9d977a05-4946-4643-9004-89b9d81b0c5f","Agrostis cappilaris",18.75
"Setesdal_site2_plot_11","B11",11,"Browsed",2002,"UTM unknown sone","390002 6544606",5902673184380,708375007855,"WGS314","6f39828b-ea55-41f9-ad76-6c53fd5c15cd","Agrostis cappilaris",43.75
"Setesdal_site2_plot_12","B12",12,"Browsed",2002,"UTM unknown sone","390008 6544609",5902676031540,708385303737,"WGS315","f903780a-17ba-4753-9a9b-3c9d87e80828","Agrostis cappilaris",50
"Setesdal_site2_plot_13","B13",13,"Browsed",2002,"UTM unknown sone","390015 6544604",5902671723960,708397740077,"WGS316","38d87fdc-f5a0-4c14-b4e2-4f0413fda25d","Agrostis cappilaris",81.25
"Setesdal_site2_plot_14","B14",14,"Browsed",2002,"UTM unknown sone","390019 6544610",5902677212290,708404404269,"WGS317","eb6460cd-8540-401b-9e23-272685924815","Agrostis cappilaris",25
"Setesdal_site2_plot_15","B15",15,"Browsed",2002,"UTM unknown sone","390015 6544618",5902684289780,708397040971,"WGS318","b27898cc-3d05-4d96-b4d5-5a9f21c34a7a","Agrostis cappilaris",25
"Setesdal_site2_plot_16","B16",16,"Browsed",2002,"UTM unknown sone","390013 6544627",5902692316320,708393109622,"WGS319","01890fdd-5d26-40f0-a8d1-9a3514ee3a91","Agrostis cappilaris",50
"Setesdal_site2_plot_20","B20",20,"Browsed",2002,"UTM unknown sone","390018 6544603",5902670903640,708403012860,"WGS323","534e6ab6-85fe-4d22-bc40-5e20e6b656e8","Agrostis cappilaris",81.25
"Setesdal_site3_plot_1","C1",1,"Exclosure",2002,"UTM unknown sone","392202 6542617",5900943978030,712302463693,"WGS324","3a7a071f-8177-4803-8a99-a28ec37b66f6","Agrostis cappilaris",25
"Setesdal_site3_plot_2","C2",2,"Exclosure",2002,"UTM unknown sone","392213 6542628",5900954128790,712321067286,"WGS325","e2beb58a-0c76-4991-a496-a439ac607e90","Agrostis cappilaris",50
"Setesdal_site3_plot_3","C3",3,"Exclosure",2002,"UTM unknown sone","392211 6542638",5900963054170,712317098226,"WGS326","fecaeb58-353f-461d-a8f9-c890a20c5949","Agrostis cappilaris",81.25
"Setesdal_site3_plot_6","C6",6,"Exclosure",2002,"UTM unknown sone","392209 6542640",5900964798900,712313520209,"WGS329","0c6d6c91-4c2d-4ed2-aede-fddd19ed1153","Agrostis cappilaris",62.5
